Count,Serial No.,Image Name,Annotations,X,Y,R,G,B,Grayscale,Hex,Prediction,CountBlue,CountBrown,Image Name.1,browntype,FinalPred,CountW,CountM,CountS,CountN
38,3,1033.png,46,64,42,109,80,61,0.3325200080871582,#6d503d,Brown,,34.0,1033.png,2.0,M,,8.0,,
39,3,1033.png,46,60,59,54,24,19,0.1177039220929146,#361813,Brown,,35.0,1033.png,0.0,S,,,27.0,
40,3,1033.png,46,81,59,102,77,37,0.311484307050705,#664d25,Brown,,36.0,1033.png,2.0,M,,9.0,,
41,3,1033.png,46,73,46,147,150,108,0.5738600492477417,#93966c,Brown,,37.0,1033.png,1.0,W,1.0,,,
42,3,1033.png,46,60,71,89,74,79,0.3041098117828369,#594a4f,Brown,,38.0,1033.png,2.0,M,,10.0,,
43,3,1033.png,46,51,75,71,43,20,0.1854576468467712,#472b14,Brown,,39.0,1033.png,0.0,S,,,28.0,
44,3,1033.png,46,50,61,141,113,69,0.4540297985076904,#8d7145,Brown,,40.0,1033.png,2.0,M,,11.0,,
45,3,1033.png,46,61,87,88,50,44,0.2260486334562302,#58322c,Brown,,41.0,1033.png,0.0,S,,,29.0,
46,3,1033.png,46,69,85,175,166,133,0.6491498351097107,#afa685,Brown,,42.0,1033.png,1.0,W,2.0,,,
47,3,1033.png,46,78,84,75,55,39,0.2278290241956711,#4b3727,Brown,,43.0,1033.png,0.0,S,,,30.0,
48,3,1033.png,46,83,89,58,40,16,0.1650768667459488,#3a2810,Brown,,44.0,1033.png,0.0,S,,,31.0,
49,3,1033.png,46,90,82,130,105,59,0.4195917844772339,#82693b,Brown,,45.0,1033.png,2.0,M,,12.0,,
50,3,1033.png,46,98,78,77,47,23,0.2025278508663177,#4d2f17,Brown,,46.0,1033.png,0.0,S,,,32.0,
51,3,1033.png,46,76,75,133,91,52,0.3808356821537018,#855b34,Brown,,47.0,1033.png,2.0,M,,13.0,,
52,3,1033.png,46,89,55,93,51,23,0.2270831316709518,#5d3317,Brown,,48.0,1033.png,0.0,S,,,33.0,
53,3,1033.png,46,93,60,72,61,69,0.250644326210022,#483d45,Brown,,49.0,1033.png,0.0,S,,,34.0,
54,3,1033.png,46,91,68,77,46,50,0.2073564678430557,#4d2e32,Brown,,50.0,1033.png,0.0,S,,,35.0,
55,3,1033.png,46,104,61,49,35,34,0.1486388295888901,#312322,Brown,,51.0,1033.png,0.0,S,,,36.0,
56,3,1033.png,46,97,39,92,50,21,0.2228788286447525,#5c3215,Brown,,52.0,1033.png,0.0,S,,,37.0,
57,3,1033.png,46,105,34,76,36,20,0.1699858903884888,#4c2414,Brown,,53.0,1033.png,0.0,S,,,38.0,
58,3,1033.png,46,91,25,106,91,87,0.3682317733764648,#6a5b57,Brown,,54.0,1033.png,2.0,M,,14.0,,
59,3,1033.png,46,89,14,143,116,89,0.469767838716507,#8f7459,Brown,,55.0,1033.png,1.0,W,3.0,,,
60,3,1033.png,46,82,5,174,138,80,0.5547772645950317,#ae8a50,Brown,,56.0,1033.png,1.0,W,4.0,,,
61,3,1033.png,46,68,3,56,27,25,0.1294835358858109,#381b19,Brown,,57.0,1033.png,0.0,S,,,39.0,
62,3,1033.png,46,105,4,64,58,64,0.2341474592685699,#403a40,Brown,,58.0,1033.png,0.0,S,,,40.0,
63,3,1033.png,46,106,14,80,64,48,0.2597898244857788,#504030,Brown,,59.0,1033.png,0.0,S,,,41.0,
64,3,1033.png,46,95,6,91,69,66,0.28807333111763,#5b4542,Brown,,60.0,1033.png,2.0,M,,15.0,,
65,3,1033.png,46,120,3,85,67,72,0.2791588306427002,#554348,Brown,,61.0,1033.png,2.0,M,,16.0,,
66,3,1033.png,46,11,4,97,74,74,0.3093627393245697,#614a4a,Brown,,62.0,1033.png,2.0,M,,17.0,,
67,3,1033.png,46,20,9,150,122,111,0.4986545443534851,#967a6f,Brown,,63.0,1033.png,1.0,W,5.0,,,
68,3,1033.png,46,6,26,129,95,84,0.3977721929550171,#815f54,Brown,,64.0,1033.png,2.0,M,,18.0,,
69,3,1033.png,46,18,33,155,133,127,0.5382055044174194,#9b857f,Brown,,65.0,1033.png,1.0,W,6.0,,,
70,3,1033.png,46,12,31,78,69,63,0.2763917744159698,#4e453f,Brown,,66.0,1033.png,2.0,M,,19.0,,
71,3,1033.png,46,33,34,171,145,110,0.5803980827331543,#ab916e,Brown,,67.0,1033.png,1.0,W,7.0,,,
72,3,1033.png,46,65,77,109,66,55,0.2915466725826263,#6d4237,Brown,,68.0,1033.png,2.0,M,,20.0,,
73,3,1033.png,46,62,114,123,111,107,0.4441631734371185,#7b6f6b,Brown,,69.0,1033.png,2.0,M,,21.0,,
74,3,1033.png,46,67,120,96,92,82,0.3612902164459229,#605c52,Brown,,70.0,1033.png,2.0,M,,22.0,,
75,3,1033.png,46,61,101,89,51,39,0.2282737195491791,#593327,Brown,,71.0,1033.png,0.0,S,,,42.0,
76,4,1038.png,3,137,6,54,25,25,0.1222058832645416,#361919,Brown,,72.0,1038.png,0.0,S,,,43.0,
77,4,1038.png,3,144,23,49,26,20,0.1194309741258621,#311a14,Brown,,73.0,1038.png,0.0,S,,,44.0,
78,4,1038.png,3,163,6,50,30,22,0.1320517510175705,#321e16,Brown,,74.0,1038.png,0.0,S,,,45.0,
79,5,1060.png,9,11,192,135,136,137,0.532782793045044,#878889,Brown,,75.0,1060.png,1.0,W,8.0,,,
80,5,1060.png,9,17,186,107,99,126,0.4025360643863678,#6b637e,Blue,5.0,,1060.png,,N,,,,5.0
81,5,1060.png,9,38,194,121,112,121,0.4492603540420532,#797079,Brown,,76.0,1060.png,2.0,M,,23.0,,
82,5,1060.png,9,48,197,71,62,93,0.2594023644924164,#473e5d,Blue,6.0,,1060.png,,N,,,,6.0
83,5,1060.png,9,69,68,103,98,122,0.3952662944793701,#67627a,Blue,7.0,,1060.png,,N,,,,7.0
84,5,1060.png,9,104,76,98,103,127,0.4065408110618591,#62677f,Blue,8.0,,1060.png,,N,,,,8.0
85,5,1060.png,9,192,165,173,162,184,0.6506811380386353,#ada2b8,Blue,9.0,,1060.png,,N,,,,9.0
86,5,1060.png,9,190,172,138,134,124,0.5259960889816284,#8a867c,Blue,10.0,,1060.png,,N,,,,10.0
87,5,1060.png,9,33,63,128,117,129,0.47138312458992,#807581,Blue,11.0,,1060.png,,N,,,,11.0
88,6,108.png,15,49,126,105,72,47,0.3027843236923218,#69482f,Brown,,77.0,108.png,2.0,M,,24.0,,
89,6,108.png,15,16,62,102,74,57,0.3087227344512939,#664a39,Brown,,78.0,108.png,2.0,M,,25.0,,
90,6,108.png,15,2,36,155,154,190,0.6149337291717529,#9b9abe,Blue,12.0,,108.png,,N,,,,12.0
91,6,108.png,15,76,104,156,123,99,0.5030670762062073,#9c7b63,Brown,,79.0,108.png,1.0,W,9.0,,,
92,6,108.png,15,96,110,66,52,40,0.2121952921152115,#423428,Brown,,80.0,108.png,0.0,S,,,46.0,
93,6,108.png,15,139,116,109,120,153,0.4707521498203278,#6d7899,Blue,13.0,,108.png,,N,,,,13.0
94,6,108.png,15,170,118,118,84,66,0.3526556789875031,#765442,Brown,,81.0,108.png,2.0,M,,26.0,,
95,6,108.png,15,183,26,88,59,40,0.2501670718193054,#583b28,Brown,,82.0,108.png,0.0,S,,,47.0,
96,6,108.png,15,111,25,87,53,35,0.2310870736837387,#573523,Brown,,83.0,108.png,0.0,S,,,48.0,
97,6,108.png,15,101,13,56,44,32,0.1791560649871826,#382c20,Brown,,84.0,108.png,0.0,S,,,49.0,
98,6,108.png,15,93,7,130,123,137,0.4921447038650513,#827b89,Blue,14.0,,108.png,,N,,,,14.0
99,6,108.png,15,100,4,81,46,41,0.2081450968980789,#512e29,Brown,,85.0,108.png,0.0,S,,,50.0,
100,6,108.png,15,123,10,110,87,64,0.3538399934768677,#6e5740,Brown,,86.0,108.png,2.0,M,,27.0,,
101,6,108.png,15,127,3,109,112,150,0.4474599957466125,#6d7096,Blue,15.0,,108.png,,N,,,,15.0
102,6,108.png,15,144,2,154,147,163,0.5868278741836548,#9a93a3,Blue,16.0,,108.png,,N,,,,16.0
103,7,109.png,11,163,22,161,150,172,0.6036223769187927,#a196ac,Blue,17.0,,109.png,,N,,,,17.0
104,7,109.png,11,177,7,176,172,181,0.6803877949714661,#b0acb5,Blue,18.0,,109.png,,N,,,,18.0
105,7,109.png,11,155,19,103,98,133,0.3983764946460724,#676285,Blue,19.0,,109.png,,N,,,,19.0
106,7,109.png,11,109,51,62,39,38,0.1718250960111618,#3e2726,Brown,,87.0,109.png,0.0,S,,,51.0,
107,7,109.png,11,124,61,138,93,52,0.3906133472919464,#8a5d34,Brown,,88.0,109.png,2.0,M,,28.0,,
108,7,109.png,11,123,75,131,139,167,0.5463482737541199,#838ba7,Blue,20.0,,109.png,,N,,,,20.0
109,7,109.png,11,179,116,76,64,40,0.2541945278644562,#4c4028,Brown,,89.0,109.png,0.0,S,,,52.0,
110,7,109.png,11,71,182,78,55,41,0.2308945208787918,#4e3729,Brown,,90.0,109.png,0.0,S,,,53.0,
111,7,109.png,11,83,186,78,58,55,0.2432694286108017,#4e3a37,Brown,,91.0,109.png,0.0,S,,,54.0,
112,7,109.png,11,55,194,182,180,192,0.7109420299530029,#b6b4c0,Blue,21.0,,109.png,,N,,,,21.0
113,7,109.png,11,54,183,157,133,94,0.5305415391921997,#9d855e,Brown,,92.0,109.png,1.0,W,10.0,,,
114,8,1182.png,1,191,155,75,69,98,0.2837878465652466,#4b4562,Blue,22.0,,1182.png,,N,,,,22.0
115,9,1257.png,6,52,78,65,42,38,0.1827415823936462,#412a26,Brown,,93.0,1257.png,0.0,S,,,55.0,
116,9,1257.png,6,18,69,79,51,43,0.2210713624954224,#4f332b,Brown,,94.0,1257.png,0.0,S,,,56.0,
117,9,1257.png,6,121,124,52,38,36,0.1601207852363586,#342624,Brown,,95.0,1257.png,0.0,S,,,57.0,
118,9,1257.png,6,127,140,87,62,43,0.2585984468460083,#573e2b,Brown,,96.0,1257.png,0.0,S,,,58.0,
119,9,1257.png,6,143,169,71,42,34,0.1866105943918228,#472a22,Brown,,97.0,1257.png,0.0,S,,,59.0,
120,9,1257.png,6,123,186,86,72,96,0.3008055090904236,#564860,Brown,,98.0,1257.png,2.0,M,,29.0,,
121,10,1263.png,3,142,171,59,38,36,0.1659541130065918,#3b2624,Brown,,99.0,1263.png,0.0,S,,,60.0,
122,10,1263.png,3,137,178,107,84,75,0.3460337221622467,#6b544b,Brown,,100.0,1263.png,2.0,M,,30.0,,
123,10,1263.png,3,134,158,69,52,43,0.2155435234308243,#45342b,Brown,,101.0,1263.png,0.0,S,,,61.0,
124,11,1274.png,13,124,170,87,56,42,0.2414827346801758,#57382a,Brown,,102.0,1274.png,0.0,S,,,62.0,
125,11,1274.png,13,168,152,86,82,74,0.3226400017738342,#56524a,Brown,,103.0,1274.png,2.0,M,,31.0,,
126,11,1274.png,13,168,124,64,39,40,0.1740572601556778,#402728,Brown,,104.0,1274.png,0.0,S,,,63.0,
127,11,1274.png,13,186,57,57,47,40,0.1906678378582001,#392f28,Brown,,105.0,1274.png,0.0,S,,,64.0,
128,11,1274.png,13,158,175,82,64,48,0.2614564895629883,#524030,Brown,,106.0,1274.png,0.0,S,,,65.0,
129,11,1274.png,13,153,169,83,67,46,0.2701407968997955,#53432e,Brown,,107.0,1274.png,2.0,M,,32.0,,
130,11,1274.png,13,128,192,83,54,51,0.235083132982254,#533633,Brown,,108.0,1274.png,0.0,S,,,66.0,
131,11,1274.png,13,141,196,104,72,62,0.30619215965271,#68483e,Brown,,109.0,1274.png,2.0,M,,33.0,,
132,11,1274.png,13,150,198,90,62,50,0.2630776464939117,#5a3e32,Brown,,110.0,1274.png,0.0,S,,,67.0,
133,11,1274.png,13,155,194,72,56,36,0.2272862643003464,#483824,Brown,,111.0,1274.png,0.0,S,,,68.0,
134,11,1274.png,13,173,195,90,57,48,0.2484847158193588,#5a3930,Brown,,112.0,1274.png,0.0,S,,,69.0,
135,11,1274.png,13,183,191,73,51,42,0.2157886326313019,#49332a,Brown,,113.0,1274.png,0.0,S,,,70.0,
136,11,1274.png,13,192,186,74,55,58,0.2323678433895111,#4a373a,Brown,,114.0,1274.png,0.0,S,,,71.0,
137,12,1277.png,45,181,88,103,67,62,0.2913313806056976,#67433e,Brown,,115.0,1277.png,2.0,M,,34.0,,
138,12,1277.png,45,176,83,145,126,100,0.5025995969772339,#917e64,Brown,,116.0,1277.png,1.0,W,11.0,,,
139,12,1277.png,45,183,99,114,107,84,0.4189380407333374,#726b54,Brown,,117.0,1277.png,2.0,M,,35.0,,
140,12,1277.png,45,181,110,97,77,65,0.315234512090683,#614d41,Brown,,118.0,1277.png,2.0,M,,36.0,,
141,12,1277.png,45,198,113,88,68,48,0.2776784598827362,#584430,Brown,,119.0,1277.png,2.0,M,,37.0,,
142,12,1277.png,45,186,116,108,75,66,0.3190729320049286,#6c4b42,Brown,,120.0,1277.png,2.0,M,,38.0,,
143,12,1277.png,45,179,123,97,73,66,0.3042953014373779,#614942,Brown,,121.0,1277.png,2.0,M,,39.0,,
144,12,1277.png,45,182,134,99,83,80,0.3379752933979034,#635350,Brown,,122.0,1277.png,2.0,M,,40.0,,
145,12,1277.png,45,189,158,73,49,34,0.2079156935214996,#493122,Brown,,123.0,1277.png,0.0,S,,,72.0,
146,12,1277.png,45,186,178,100,73,54,0.3034023642539978,#644936,Brown,,124.0,1277.png,2.0,M,,41.0,,
147,12,1277.png,45,199,190,97,70,63,0.2950305938720703,#61463f,Brown,,125.0,1277.png,2.0,M,,42.0,,
148,12,1277.png,45,191,197,94,80,79,0.3251094222068787,#5e504f,Brown,,126.0,1277.png,2.0,M,,43.0,,
149,12,1277.png,45,176,199,56,44,52,0.1848109662532806,#382c34,Brown,,127.0,1277.png,0.0,S,,,73.0,
150,12,1277.png,45,166,196,64,56,51,0.2248607873916626,#403833,Brown,,128.0,1277.png,0.0,S,,,74.0,
151,12,1277.png,45,161,197,100,71,69,0.3020325601100922,#644745,Brown,,129.0,1277.png,2.0,M,,44.0,,
152,12,1277.png,45,144,197,90,67,42,0.274843156337738,#5a432a,Brown,,130.0,1277.png,2.0,M,,45.0,,
153,12,1277.png,45,151,198,121,99,79,0.4009137153625488,#79634f,Brown,,131.0,1277.png,2.0,M,,46.0,,
154,12,1277.png,45,140,182,79,82,106,0.3258545100688934,#4f526a,Blue,23.0,,1277.png,,N,,,,23.0
155,12,1277.png,45,163,161,61,41,51,0.1802784353494644,#3d2933,Brown,,132.0,1277.png,0.0,S,,,75.0,
156,12,1277.png,45,135,150,110,82,78,0.3437709510326385,#6e524e,Brown,,133.0,1277.png,2.0,M,,47.0,,
157,12,1277.png,45,130,148,59,42,42,0.1788725554943085,#3b2a2a,Brown,,134.0,1277.png,0.0,S,,,76.0,
158,12,1277.png,45,116,155,84,67,47,0.2712568640708923,#54432f,Brown,,135.0,1277.png,2.0,M,,48.0,,
159,12,1277.png,45,109,146,52,57,44,0.2156870663166046,#34392c,Brown,,136.0,1277.png,0.0,S,,,77.0,
160,12,1277.png,45,107,153,59,42,42,0.1788725554943085,#3b2a2a,Brown,,137.0,1277.png,0.0,S,,,78.0,
161,12,1277.png,45,105,162,93,84,73,0.3338015973567963,#5d5449,Brown,,138.0,1277.png,2.0,M,,49.0,,
162,12,1277.png,45,110,171,90,59,53,0.2555094063282013,#5a3b35,Brown,,139.0,1277.png,0.0,S,,,79.0,
163,12,1277.png,45,98,165,75,67,78,0.27252197265625,#4b434e,Brown,,140.0,1277.png,2.0,M,,50.0,,
164,12,1277.png,45,87,162,75,61,61,0.2508823573589325,#4b3d3d,Brown,,141.0,1277.png,0.0,S,,,80.0,
165,12,1277.png,45,86,167,126,113,141,0.4618874192237854,#7e718d,Blue,24.0,,1277.png,,N,,,,24.0
166,12,1277.png,45,87,180,95,88,123,0.3608274459838867,#5f587b,Blue,25.0,,1277.png,,N,,,,25.0
167,12,1277.png,45,90,186,108,78,57,0.3249447047710419,#6c4e39,Brown,,142.0,1277.png,2.0,M,,51.0,,
168,12,1277.png,45,83,197,104,84,84,0.3460784554481506,#685454,Brown,,143.0,1277.png,2.0,M,,52.0,,
169,12,1277.png,45,73,197,96,95,124,0.3815819621086121,#605f7c,Blue,26.0,,1277.png,,N,,,,26.0
170,12,1277.png,45,70,186,107,103,129,0.4146062731742859,#6b6781,Blue,27.0,,1277.png,,N,,,,27.0
171,12,1277.png,45,60,190,74,67,105,0.2793227434158325,#4a4369,Blue,28.0,,1277.png,,N,,,,28.0
172,12,1277.png,45,74,169,101,89,120,0.367784708738327,#655978,Blue,29.0,,1277.png,,N,,,,29.0
173,12,1277.png,45,61,177,109,76,59,0.3207325637340546,#6d4c3b,Brown,,144.0,1277.png,2.0,M,,53.0,,
174,12,1277.png,45,49,180,80,60,58,0.2513952851295471,#503c3a,Brown,,145.0,1277.png,0.0,S,,,81.0,
175,12,1277.png,45,64,161,114,96,84,0.3880776166915894,#726054,Brown,,146.0,1277.png,2.0,M,,54.0,,
176,12,1277.png,45,53,158,65,58,70,0.2366772592067719,#413a46,Brown,,147.0,1277.png,0.0,S,,,82.0,
177,12,1277.png,45,25,182,76,55,46,0.2306415736675262,#4c372e,Brown,,148.0,1277.png,0.0,S,,,83.0,
178,12,1277.png,45,20,198,104,88,94,0.3601278364658356,#68585e,Brown,,149.0,1277.png,2.0,M,,55.0,,
179,12,1277.png,45,19,184,128,113,95,0.450547844171524,#80715f,Brown,,150.0,1277.png,2.0,M,,56.0,,
180,12,1277.png,45,11,186,137,128,120,0.5071988701820374,#898078,Brown,,151.0,1277.png,1.0,W,12.0,,,
181,12,1277.png,45,2,193,107,101,103,0.4016439318656921,#6b6567,Brown,,152.0,1277.png,2.0,M,,57.0,,
182,13,1301.png,23,28,153,78,75,125,0.3107549250125885,#4e4b7d,Blue,30.0,,1301.png,,N,,,,30.0
183,13,1301.png,23,27,163,102,97,132,0.3944548964500427,#666184,Blue,31.0,,1301.png,,N,,,,31.0
184,13,1301.png,23,27,177,79,75,111,0.3076298236846924,#4f4b6f,Blue,32.0,,1301.png,,N,,,,32.0
185,13,1301.png,23,74,190,140,127,145,0.5139619708061218,#8c7f91,Blue,33.0,,1301.png,,N,,,,33.0
186,13,1301.png,23,67,183,150,136,133,0.544151782989502,#968885,Brown,,153.0,1301.png,1.0,W,13.0,,,
187,13,1301.png,23,67,52,95,60,59,0.2641780376434326,#5f3c3b,Brown,,154.0,1301.png,0.0,S,,,84.0,
188,13,1301.png,23,72,59,93,85,100,0.3442411720752716,#5d5564,Brown,,155.0,1301.png,2.0,M,,58.0,,
189,13,1301.png,23,62,56,122,123,135,0.4849125146865845,#7a7b87,Blue,34.0,,1301.png,,N,,,,34.0
190,13,1301.png,23,126,104,90,86,105,0.3459603786468506,#5a5669,Blue,35.0,,1301.png,,N,,,,35.0
191,13,1301.png,23,124,140,109,103,121,0.4140110015869141,#6d6779,Blue,36.0,,1301.png,,N,,,,36.0
192,13,1301.png,23,156,89,93,78,86,0.3206443190574646,#5d4e56,Brown,,156.0,1301.png,2.0,M,,59.0,,
193,13,1301.png,23,176,94,87,84,88,0.3330427706241608,#575458,Brown,,157.0,1301.png,2.0,M,,60.0,,
194,13,1301.png,23,55,131,164,165,194,0.6544250845909119,#a4a5c2,Blue,37.0,,1301.png,,N,,,,37.0
195,13,1301.png,23,84,179,155,144,150,0.5755690336227417,#9b9096,Brown,,158.0,1301.png,1.0,W,14.0,,,
196,13,1301.png,23,76,180,133,128,131,0.5069757103919983,#858083,Brown,,159.0,1301.png,1.0,W,15.0,,,
197,13,1301.png,23,16,40,131,117,125,0.4727521538734436,#83757d,Brown,,160.0,1301.png,1.0,W,16.0,,,
198,13,1301.png,23,3,31,122,110,115,0.4427862465381622,#7a6e73,Brown,,161.0,1301.png,2.0,M,,61.0,,
199,13,1301.png,23,196,22,101,79,96,0.3329439461231232,#654f60,Brown,,162.0,1301.png,2.0,M,,62.0,,
200,13,1301.png,23,114,74,84,85,78,0.3305207788944244,#54554e,Brown,,163.0,1301.png,2.0,M,,63.0,,
201,13,1301.png,23,16,104,112,111,105,0.4344309866428375,#706f69,Brown,,164.0,1301.png,2.0,M,,64.0,,
202,13,1301.png,23,16,95,100,80,92,0.3337850868701935,#64505c,Brown,,165.0,1301.png,2.0,M,,65.0,,
203,13,1301.png,23,41,87,147,112,76,0.45820352435112,#93704c,Brown,,166.0,1301.png,2.0,M,,66.0,,
204,13,1301.png,23,25,96,144,142,167,0.5655980706214905,#908ea7,Blue,38.0,,1301.png,,N,,,,38.0
205,14,1313.png,65,27,114,70,55,47,0.2259243130683899,#46372f,Brown,,167.0,1313.png,0.0,S,,,85.0,
206,14,1313.png,65,11,38,99,65,64,0.2829525470733643,#634140,Brown,,168.0,1313.png,2.0,M,,67.0,,
207,14,1313.png,65,3,25,118,95,91,0.3905847072601318,#765f5b,Brown,,169.0,1313.png,2.0,M,,68.0,,
208,14,1313.png,65,40,69,96,63,57,0.2728623449802399,#603f39,Brown,,170.0,1313.png,2.0,M,,69.0,,
209,14,1313.png,65,54,77,69,57,38,0.2281572669744492,#453926,Brown,,171.0,1313.png,0.0,S,,,86.0,
210,14,1313.png,65,64,78,97,75,117,0.3243262767791748,#614b75,Blue,39.0,,1313.png,,N,,,,39.0
211,14,1313.png,65,63,67,102,83,64,0.3359513878822327,#665340,Brown,,172.0,1313.png,2.0,M,,70.0,,
212,14,1313.png,65,88,92,56,30,35,0.1407274454832077,#381e23,Brown,,173.0,1313.png,0.0,S,,,87.0,
213,14,1313.png,65,102,93,65,51,35,0.2071427553892136,#413323,Brown,,174.0,1313.png,0.0,S,,,88.0,
214,14,1313.png,65,86,108,54,38,38,0.1623529493808746,#362626,Brown,,175.0,1313.png,0.0,S,,,89.0,
215,14,1313.png,65,77,108,107,76,55,0.3179349005222321,#6b4c37,Brown,,176.0,1313.png,2.0,M,,71.0,,
216,14,1313.png,65,123,86,88,73,49,0.2919886112213135,#584931,Brown,,177.0,1313.png,2.0,M,,72.0,,
217,14,1313.png,65,128,94,62,41,49,0.1805462688207626,#3e2931,Brown,,178.0,1313.png,0.0,S,,,90.0,
218,14,1313.png,65,87,136,57,44,41,0.1825341284275055,#392c29,Brown,,179.0,1313.png,0.0,S,,,91.0,
219,14,1313.png,65,88,120,63,61,49,0.2374894022941589,#3f3d31,Brown,,180.0,1313.png,0.0,S,,,92.0,
220,14,1313.png,65,103,159,99,59,47,0.2613129615783691,#633b2f,Brown,,181.0,1313.png,0.0,S,,,93.0,
221,14,1313.png,65,122,155,91,77,109,0.3226752877235413,#5b4d6d,Blue,40.0,,1313.png,,N,,,,40.0
222,14,1313.png,65,122,134,89,70,57,0.2866674363613129,#594639,Brown,,182.0,1313.png,2.0,M,,73.0,,
223,14,1313.png,65,102,142,93,90,118,0.3633580505847931,#5d5a76,Blue,41.0,,1313.png,,N,,,,41.0
224,14,1313.png,65,150,177,63,48,39,0.1981905847787857,#3f3027,Brown,,183.0,1313.png,0.0,S,,,94.0,
